number,value,datetime_start,datetime_complete,duration,params_IF_binarization_threshold,params_IF_gaussian_sigma,params_IMC_arcsinh_cofactor,params_IMC_arcsinh_normalize,params_IMC_binarization_threshold,params_IMC_gaussian_sigma,params_IMC_winsorization_lower_limit,params_IMC_winsorization_upper_limit,params_binarize_images,params_registration_max_features,params_registration_percentile,params_registration_target,user_attrs_corr_cell_max_corr,user_attrs_corr_image_max_corr,user_attrs_logical_and,user_attrs_logical_iou,user_attrs_logical_or,user_attrs_logical_xor,user_attrs_prop_source_covered,user_attrs_prop_target_covered,user_attrs_reg_cell_max_corr,user_attrs_reg_image_max_corr,user_attrs_registration_matrix,user_attrs_source_sum,user_attrs_stack_cell_max_corr,user_attrs_stack_image_max_corr,user_attrs_target_sum,state,objective,sampler,zarr_id
0,0.0,2025-04-02 16:24:21.091531,2025-04-02 16:24:24.396656,0 days 00:00:03.305125,0.3745401188473625,4.75357153204958,16.445845403801215,True,0.8661761457749352,3.005575058716044,0.031198904067240532,0.011616722433639893,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,tissue-0009-9073de4
1,0.0,2025-04-02 16:24:24.425374,2025-04-02 16:24:25.407054,0 days 00:00:00.981680,0.7080725777960455,0.10292247147901223,22.02157195714934,True,0.3042422429595377,2.6237821581611893,0.03636499344142013,0.03668090197068676,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,tissue-0009-9073de4
2,0.33103496200518795,2025-04-02 16:24:25.416084,2025-04-02 16:24:27.715353,0 days 00:00:02.299269,0.43194501864211576,1.4561457009902097,29.922320204986598,True,0.7851759613930136,0.9983689107917987,0.07327236865873835,0.0912139968434072,True,100000,0.9,IF,0.4011187698869178,0.4774134102821739,8597.0,0.4461801951422047,19268.0,10671.0,,,0.19573124020653093,0.7419310978150473,"[[-1.00312332e+00  1.01357975e-03  4.96700091e+02]
 [-1.01357975e-03 -1.00312332e+00  5.73448641e+02]]",10952.0,0.40111876988691647,0.7419310978150669,16913.0,COMPLETE,iou-single-objective,GPSampler,tissue-0009-9073de4
3,0.0,2025-04-02 16:24:27.726321,2025-04-02 16:24:28.026101,0 days 00:00:00.299780,0.5142344384136116,2.9620728443102124,17.88188824504186,False,0.9656320330745594,4.041986740582305,0.013010318597055905,0.18977710745066667,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,tissue-0009-9073de4
4,0.0,2025-04-02 16:24:28.033532,2025-04-02 16:24:28.400785,0 days 00:00:00.367253,0.3046137691733707,0.48836057003191935,13.081785249633104,True,0.9093204020787821,1.2938999080000846,0.09903538202225404,0.006877704223043679,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,tissue-0009-9073de4
5,0.0,2025-04-02 16:24:28.408789,2025-04-02 16:24:28.653370,0 days 00:00:00.244581,0.662522284353982,1.5585553804470549,19.300591097027176,False,0.9394989415641891,4.474136752138244,0.19391692555291173,0.15502656467222292,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,tissue-0009-9073de4
6,0.0,2025-04-02 16:24:28.668298,2025-04-02 16:24:29.034407,0 days 00:00:00.366109,0.5978999788110851,4.609371175115584,5.477501602143269,False,0.2713490317738959,4.143687545759647,0.06506606615265287,0.07773545793789641,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,tissue-0009-9073de4
7,0.4956960769895534,2025-04-02 16:24:29.042506,2025-04-02 16:24:31.086251,0 days 00:00:02.043745,0.3567533266935893,1.4046725484369038,80.41750109464992,True,0.7722447692966574,0.993578407670862,0.014910128735954166,0.19737738732010346,True,100000,0.9,IF,0.4716592567907787,0.4958366317781036,17938.0,0.6377275312855518,28128.0,10190.0,,,0.3357607519624422,0.7772850514863506,"[[-1.00475672e+00  2.16905658e-03  4.97141582e+02]
 [-2.16905658e-03 -1.00475672e+00  5.74452772e+02]]",20587.0,0.47165925679078163,0.7772850514862958,25479.0,COMPLETE,iou-single-objective,GPSampler,tissue-0009-9073de4
8,0.0,2025-04-02 16:24:31.092024,2025-04-02 16:24:31.803004,0 days 00:00:00.710980,0.005522117123602399,4.0773071422741705,77.35576432190862,False,0.11586905952512971,4.315517129377968,0.014808930346818072,0.07169314570885453,True,100000,0.9,IF,,,1.0,1.0,1.0,0.0,,,,,"[[-4.07317468e-04  1.60719998e-03  7.67583521e+02]
 [-1.60719998e-03 -4.07317468e-04  4.76266721e+02]]",1.0,,,1.0,COMPLETE,iou-single-objective,GPSampler,tissue-0009-9073de4
9,0.019204211426441235,2025-04-02 16:24:31.809245,2025-04-02 16:24:32.446472,0 days 00:00:00.637227,0.6232981268275579,1.654490124263246,33.19314888064796,False,0.8872127425763265,2.3610746258097466,0.1459212356676128,0.12751149427104264,True,100000,0.9,IF,1.0,-0.1963318878227005,2.0,0.06060606060606061,33.0,31.0,,,-1.0,0.3168694885362804,"[[-1.63207787e-02  5.76359579e-03  7.16400485e+02]
 [-5.76359579e-03 -1.63207787e-02  5.34209234e+02]]",2.0,1.0,0.3882865370463891,33.0,COMPLETE,iou-single-objective,GPSampler,tissue-0009-9073de4
